Destination,Origin,Flow
ABV,AKL,294
ABV,AKR,2028
ABV,ALA,1630
ABV,ALC,905
ABV,ALG,2507
ABV,ALP,628
ABV,AMM,2369
ABV,AMS,20687
ABV,ANC,2376
ABV,ARN,1316
ABV,ASM,190
ABV,ASR,165
ABV,ATH,5318
ABV,ATL,840
ABV,ATZ,156
ABV,AUA,2252
ABV,AUH,4870
ABV,AUS,1351
ABV,AWZ,228
ABV,AYT,5824
ABV,BBU,449
ABV,BCN,2858
ABV,BDL,717
ABV,BEG,3481
ABV,BEY,1337
ABV,BFS,3629
ABV,BGO,1578
ABV,BGY,320
ABV,BHD,3189
ABV,BHM,139
ABV,BHX,1276
ABV,BIO,1852
ABV,BKI,198
ABV,BKK,4010
ABV,BLQ,4035
ABV,BLR,11896
ABV,BNA,1774
ABV,BNE,3702
ABV,BNI,8047
ABV,BOD,1703
ABV,BOG,7156
ABV,BOM,2652
ABV,BOS,606
ABV,BRE,2129
ABV,BRI,388
ABV,BRS,112
ABV,BRU,1215
ABV,BSR,115
ABV,BTS,407
ABV,BUD,2981
ABV,BUF,1218
ABV,BVA,375
ABV,BWI,2150
ABV,CAG,501
ABV,CAI,30812
ABV,CAN,4183
ABV,CBQ,44373
ABV,CCS,4345
ABV,CCU,5833
ABV,CDG,1603
ABV,CEB,521
ABV,CGK,12594
ABV,CGN,1533
ABV,CGO,890
ABV,CGP,334
ABV,CGQ,941
ABV,CIA,408
ABV,CKG,649
ABV,CKY,332
ABV,CLE,141
ABV,CLJ,3171
ABV,CLT,320
ABV,CMB,10867
ABV,CMN,840
ABV,CNF,119
ABV,CNS,110
ABV,COK,3136
ABV,CPH,1813
ABV,CPT,4603
ABV,CRL,427
ABV,CSX,442
ABV,CTA,1211
ABV,CTS,110
ABV,CTU,1211
ABV,CUN,1783
ABV,CVG,141
ABV,CWB,109
ABV,CWL,498
ABV,DAC,6820
ABV,DAM,2625
ABV,DAR,2240
ABV,DCA,263
ABV,DEL,1975
ABV,DEN,1749
ABV,DFW,655
ABV,DKR,686
ABV,DLC,830
ABV,DME,2178
ABV,DMM,3868
ABV,DOH,7345
ABV,DPS,370
ABV,DRS,6260
ABV,DTM,464
ABV,DTW,1695
ABV,DUB,3561
ABV,DUS,840
ABV,DXB,11025
ABV,DYU,346
ABV,EDI,1485
ABV,EIN,582
ABV,EMA,1841
ABV,ENU,86266
ABV,ESB,2355
ABV,EVN,1135
ABV,EWR,305
ABV,EXT,591
ABV,EZE,4596
ABV,FBM,323
ABV,FCO,1607
ABV,FKI,110
ABV,FLL,180
ABV,FLR,1870
ABV,FMO,3203
ABV,FNA,518
ABV,FOC,800
ABV,FRA,80665
ABV,FRL,1021
ABV,FUK,131
ABV,GDL,305
ABV,GDN,3323
ABV,GDQ,207
ABV,GIG,1844
ABV,GLA,7054
ABV,GOJ,180
ABV,GOT,7846
ABV,GRR,118
ABV,GRU,2441
ABV,GRZ,3745
ABV,GUM,600
ABV,GVA,1980
ABV,GYD,2654
ABV,HAJ,7071
ABV,HAK,493
ABV,HAM,4794
ABV,HAN,3171
ABV,HAV,2467
ABV,HBE,462
ABV,HEL,974
ABV,HER,3171
ABV,HET,531
ABV,HFE,691
ABV,HGH,388
ABV,HKG,7835
ABV,HOD,106
ABV,HOU,2199
ABV,HRB,927
ABV,HRG,5890
ABV,HYD,15059
ABV,IAD,1261
ABV,IAH,2155
ABV,ICN,3189
ABV,IKA,14864
ABV,IKT,517
ABV,IND,717
ABV,INN,1805
ABV,ISB,5288
ABV,IST,2224
ABV,IXE,113
ABV,JED,1911
ABV,JFK,13910
ABV,JIM,156
ABV,JNB,2736
ABV,JOS,1897
ABV,JRO,147
ABV,KAN,82451
ABV,KBP,3467
ABV,KEF,2667
ABV,KHH,649
ABV,KHI,14776
ABV,KHN,699
ABV,KIX,3109
ABV,KJA,584
ABV,KMG,649
ABV,KMS,316
ABV,KRK,3305
ABV,KRR,678
ABV,KRT,2745
ABV,KTM,2714
ABV,KTW,3171
ABV,KUF,3171
ABV,KUL,6548
ABV,KWE,926
ABV,KWL,617
ABV,LAD,1201
ABV,LAS,652
ABV,LAX,2833
ABV,LBA,3703
ABV,LCY,8856
ABV,LED,1946
ABV,LEJ,4807
ABV,LGW,1056
ABV,LHE,3759
ABV,LHR,90788
ABV,LHW,586
ABV,LIM,3932
ABV,LIN,4485
ABV,LIS,2741
ABV,LJU,2503
ABV,LKO,199
ABV,LLW,155
ABV,LOS,1245236
ABV,LPA,988
ABV,LPL,3078
ABV,LTN,929
ABV,LXR,8327
ABV,LYP,290
ABV,LYS,1103
ABV,MAA,15785
ABV,MAD,3709
ABV,MAN,1757
ABV,MBA,877
ABV,MCI,1091
ABV,MCO,712
ABV,MEL,4445
ABV,MEM,238
ABV,MEX,4440
ABV,MFM,185
ABV,MIA,351
ABV,MJV,403
ABV,MKE,547
ABV,MLA,1714
ABV,MLE,7786
ABV,MLW,131
ABV,MNL,6623
ABV,MRS,1068
ABV,MSP,618
ABV,MSQ,2355
ABV,MSY,2772
ABV,MTY,1722
ABV,MUC,4569
ABV,MXP,4787
ABV,MZT,581
ABV,NAP,2402
ABV,NAS,2275
ABV,NAY,295
ABV,NBO,1846
ABV,NCE,3544
ABV,NCL,5324
ABV,NGB,272
ABV,NGO,3171
ABV,NIM,7850
ABV,NKC,147
ABV,NKG,3171
ABV,NNG,649
ABV,NRN,222
